DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,AT,2012,318653.0,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,AT,2013,323910.2,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,AT,2014,333146.1,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,AT,2015,344269.2,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,AT,2016,357608.0,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,AT,2017,369361.9,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,AT,2018,385274.1,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,AT,2019,397169.5,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,AT,2020,381042.5,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,BE,2012,386174.7,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,BE,2013,392880.0,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,BE,2014,403003.3,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,BE,2015,416701.4,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,BE,2016,430085.3,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,BE,2017,445050.1,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,BE,2018,460050.8,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,BE,2019,478645.0,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,BE,2020,459826.3,p
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,BG,2012,42256.8,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,BG,2013,42050.2,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,BG,2014,43026.0,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,BG,2015,45812.3,
ESTAT:NAMA_10_GDP(1.0),03/01/23 23:00:00,A,CP_MEUR,B1GQ,BG,2016,48773.1,
