Category,Country,Year,Value
General public services,Austria,2012,7.261158689860131
General public services,Austria,2013,7.210486116213691
General public services,Austria,2014,6.825443851811563
General public services,Austria,2015,6.793782307566289
General public services,Austria,2016,6.46221561038903
General public services,Austria,2017,6.0030284661195425
General public services,Austria,2018,5.910908623237328
General public services,Austria,2019,5.753563654812367
General public services,Austria,2020,6.146138554098297
General public services,Belgium,2012,8.76295106851899
General public services,Belgium,2013,8.628817959682346
General public services,Belgium,2014,8.417201546488577
General public services,Belgium,2015,8.020659397832596
General public services,Belgium,2016,7.92772968525081
General public services,Belgium,2017,7.1688108821905665
General public services,Belgium,2018,7.077066271811722
General public services,Belgium,2019,6.858277011146048
General public services,Belgium,2020,7.326114230525745
General public services,Bulgaria,2012,3.42737736884951
General public services,Bulgaria,2013,3.6756067747596917
General public services,Bulgaria,2014,3.919955375819272
General public services,Bulgaria,2015,3.766892297483427
General public services,Bulgaria,2016,3.5456019814200856
General public services,Bulgaria,2017,3.171061824093445
General public services,Bulgaria,2018,3.6560379049814316
General public services,Bulgaria,2019,2.781744194546651
General public services,Bulgaria,2020,3.4921129351756766
General public services,Switzerland,2012,4.534142252769971
General public services,Switzerland,2013,4.532702836839285
General public services,Switzerland,2014,4.546832246227062
General public services,Switzerland,2015,4.590151721884404
General public services,Switzerland,2016,4.47279848933303
General public services,Switzerland,2017,4.600144565485874
General public services,Switzerland,2018,4.415579637717066
General public services,Switzerland,2019,4.332391124617344
General public services,Switzerland,2020,4.6249167646895195
General public services,Cyprus,2012,10.069554869353794
General public services,Cyprus,2013,8.890096062704057
General public services,Cyprus,2014,9.087789141327477
General public services,Cyprus,2015,9.049163518016963
General public services,Cyprus,2016,7.818531803216611
General public services,Cyprus,2017,7.324097595557393
General public services,Cyprus,2018,6.962366955631117
General public services,Cyprus,2019,7.173738576643279
General public services,Cyprus,2020,7.522299713631941
General public services,Czechia,2012,6.6991619896978545
General public services,Czechia,2013,5.154786578578528
General public services,Czechia,2014,5.159379627464735
General public services,Czechia,2015,4.683996409492433
General public services,Czechia,2016,4.556733741549889
General public services,Czechia,2017,4.196506619949529
General public services,Czechia,2018,4.429150047044493
General public services,Czechia,2019,4.357717955707438
General public services,Czechia,2020,5.162428743673699
General public services,Germany,2012,6.733410798780466
General public services,Germany,2013,6.527966990947409
General public services,Germany,2014,6.306863016365891
General public services,Germany,2015,5.941483983107416
General public services,Germany,2016,5.78012849550521
General public services,Germany,2017,5.737062157959818
General public services,Germany,2018,5.695137351617169
General public services,Germany,2019,5.773394447867421
General public services,Germany,2020,6.028254875302091
General public services,Denmark,2012,9.168309908947355
General public services,Denmark,2013,7.523342687542487
General public services,Denmark,2014,7.3069759216126
General public services,Denmark,2015,7.3660818936215104
General public services,Denmark,2016,6.593062689127217
General public services,Denmark,2017,5.905263150753608
General public services,Denmark,2018,6.335653876062709
General public services,Denmark,2019,5.943693332781953
General public services,Denmark,2020,6.28564243550401
General public services,Estonia,2012,3.988457695892659
General public services,Estonia,2013,3.9559405207606235
General public services,Estonia,2014,3.901098352969344
General public services,Estonia,2015,4.029295152049787
General public services,Estonia,2016,3.9631412688121608
General public services,Estonia,2017,3.8512855800214822
General public services,Estonia,2018,3.881660638125574
General public services,Estonia,2019,3.5689202476525947
General public services,Estonia,2020,3.947569634079738
General public services,Greece,2012,11.141274632313518
General public services,Greece,2013,9.891908358923843
General public services,Greece,2014,10.04084948881717
General public services,Greece,2015,10.074905496377195
General public services,Greece,2016,8.913190237841716
General public services,Greece,2017,8.51312072012183
General public services,Greece,2018,8.475270066390914
General public services,Greece,2019,7.934499474233056
General public services,Greece,2020,8.39026902909751
General public services,Spain,2012,6.67517534603687
General public services,Spain,2013,7.2521473492593636
General public services,Spain,2014,7.036745793176113
General public services,Spain,2015,6.474122802135625
General public services,Spain,2016,6.119057446923063
General public services,Spain,2017,5.555565113566373
General public services,Spain,2018,5.6141956823847305
General public services,Spain,2019,5.4400074507451945
General public services,Spain,2020,5.878590934257851
General public services,Finland,2012,8.157204892631704
General public services,Finland,2013,8.272766871736142
General public services,Finland,2014,8.253382117672079
General public services,Finland,2015,8.365305012181565
General public services,Finland,2016,7.934515764212617
General public services,Finland,2017,7.76708896558124
General public services,Finland,2018,7.963180303432679
General public services,Finland,2019,7.958458754763235
General public services,Finland,2020,8.352447928482007
General public services,France,2012,6.967384206464561
General public services,France,2013,6.868021702361007
General public services,France,2014,6.577323567924866
General public services,France,2015,6.28074918851254
General public services,France,2016,6.14839161033226
General public services,France,2017,6.162345978351432
General public services,France,2018,5.8351309563805955
General public services,France,2019,5.5676506121712235
General public services,France,2020,5.74541359351716
General public services,Croatia,2012,5.039980995580576
General public services,Croatia,2013,5.952683680978281
General public services,Croatia,2014,7.222243692187383
General public services,Croatia,2015,6.66889095605408
General public services,Croatia,2016,6.954563602295797
General public services,Croatia,2017,6.092918202933227
General public services,Croatia,2018,5.449388782722116
General public services,Croatia,2019,5.506034749229033
General public services,Croatia,2020,6.197533361494023
General public services,Hungary,2012,9.526213096373379
General public services,Hungary,2013,10.175401531890254
General public services,Hungary,2014,9.783858661180949
General public services,Hungary,2015,8.948763642489205
General public services,Hungary,2016,8.165793161109521
General public services,Hungary,2017,7.8464267185830785
General public services,Hungary,2018,8.184067278871863
General public services,Hungary,2019,8.134182237840221
General public services,Hungary,2020,8.174335124232277
General public services,Ireland,2012,6.523061189394552
General public services,Ireland,2013,6.450994552473675
General public services,Ireland,2014,5.8758429650224615
General public services,Ireland,2015,4.163727550699512
General public services,Ireland,2016,3.8594357697646937
General public services,Ireland,2017,3.4197644302586747
General public services,Ireland,2018,3.1347883684141724
General public services,Ireland,2019,2.6739492566117735
General public services,Ireland,2020,2.3105040173116143
General public services,Iceland,2012,12.856383766409115
General public services,Iceland,2013,11.942734218529782
General public services,Iceland,2014,10.099758027403768
General public services,Iceland,2015,9.743404683671725
General public services,Iceland,2016,8.891098797077248
General public services,Iceland,2017,9.8605236863357
General public services,Iceland,2018,7.973076871197918
General public services,Iceland,2019,7.345552618998223
General public services,Iceland,2020,7.575494482943693
General public services,Italy,2012,9.89399693552908
General public services,Italy,2013,9.592675572482873
General public services,Italy,2014,9.444726010528658
General public services,Italy,2015,8.594229032443192
General public services,Italy,2016,8.257464912452438
General public services,Italy,2017,8.053528725905117
General public services,Italy,2018,7.8673756536670165
General public services,Italy,2019,7.420149238985811
General public services,Italy,2020,8.697948852158596
General public services,Lithuania,2012,4.77219531759762
General public services,Lithuania,2013,4.824269752707658
General public services,Lithuania,2014,4.776210796226487
General public services,Lithuania,2015,4.6007974144279
General public services,Lithuania,2016,4.32374472549428
General public services,Lithuania,2017,3.722889656852657
General public services,Lithuania,2018,3.4698298590361025
General public services,Lithuania,2019,3.483464940439436
General public services,Lithuania,2020,3.503343406416769
General public services,Luxembourg,2012,5.439300867038357
General public services,Luxembourg,2013,4.962470337817882
General public services,Luxembourg,2014,4.7011756800852655
General public services,Luxembourg,2015,4.735853482397312
General public services,Luxembourg,2016,4.882570305703271
General public services,Luxembourg,2017,4.9036596938565005
General public services,Luxembourg,2018,5.1911804820928396
General public services,Luxembourg,2019,5.236029345748842
General public services,Luxembourg,2020,5.067843966595144
General public services,Latvia,2012,4.850322434664554
General public services,Latvia,2013,4.851412600422091
General public services,Latvia,2014,4.8235403668870465
General public services,Latvia,2015,4.899459142686218
General public services,Latvia,2016,4.226429075372566
